,date,pm25,pm10,o3,no2,so2,co,Lat,Long,City,District,Country
24,2022/1/7,75,38,23,5,1,4,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
25,2022/1/8,97,60,27,7,1,6,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
26,2022/1/9,155,60,32,4,1,6,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
27,2022/1/10,154,33,26,4,2,5,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
28,2022/1/11,88,23,26,2,1,3,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
29,2022/1/12,64,30,25,2,2,3,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
30,2022/1/13,64,23,24,3,1,3,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
31,2022/1/14,57,24,22,3,1,4,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
32,2022/1/15,66,34,31,4,1,5,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
33,2022/1/16,89,24,29,2,2,4,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
34,2022/1/17,59,27,27,3,1,4,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
35,2022/1/18,70,25,25,3,1,5,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
36,2022/1/19,73,21,30,2,0,3,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
37,2022/1/20,60,14,29,3,1,4,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
38,2022/1/21,48,21,30,3,1,5,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
39,2022/1/22,69,29,39,3,2,5,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
40,2022/1/23,82,16,36,3,1,4,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
41,2022/1/24,45,17,23,3,0,5,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
42,2022/1/25,53,35,36,3,1,6,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
43,2022/1/26,90,36,35,3,1,6,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
44,2022/1/27,90,34,33,2,1,4,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
45,2022/1/28,86,25,31,2,1,3,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
46,2022/1/29,63,25,32,2,1,3,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
47,2022/1/30,61,28,34,2,1,4,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
48,2022/1/31,72,42,34,2,1,5,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
49,2021/10/1,43,20,41,1,0,0,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
50,2021/10/2,52,24,49,1,0,4,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
51,2021/10/3,61,25,27,2,0,0,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
52,2021/10/4,58,13,25,1,0,4,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
53,2021/10/5,32,8,28,1,0,3,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
54,2021/10/6,22,12,16,1,1,4,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
55,2021/10/7,27,11,16,1,1,3,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
56,2021/10/8,26,9,17,1,1,0,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
57,2021/10/9,18,15,29,1,0,4,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
58,2021/10/10,34,21,31,0,1,4,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
59,2021/10/11,46,15,30,1,1,0,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
60,2021/10/12,32,14,32,1,1,4,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
61,2021/10/13,30,18,37,1,1,5,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
62,2021/10/14,40,15,26,1,0,0,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
63,2021/10/15,37,21,32,1,1,4,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
64,2021/10/16,39,16,30,1,0,0,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
65,2021/10/17,35,17,27,1,1,3,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
66,2021/10/18,40,14,34,1,0,3,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
67,2021/10/19,49,10,28,1,0,3,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
68,2021/10/20,32,14,35,1,0,3,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
69,2021/10/21,49,14,25,1,0,3,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
70,2021/10/22,50,19,36,1,1,4,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
71,2021/10/23,53,23,39,1,1,4,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
72,2021/10/24,61,21,33,2,0,3,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
73,2021/10/25,57,30,42,1,1,4,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
74,2021/10/26,72,26,34,1,0,3,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
75,2021/10/27,66,20,35,1,1,3,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
76,2021/10/28,45,15,30,2,0,3,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
77,2021/10/29,32,15,35,1,1,3,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
78,2021/10/30,39,22,41,1,1,5,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
79,2021/10/31,57,25,41,1,1,4,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
80,2021/11/1,67,19,32,1,1,4,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
81,2021/11/2,57,16,36,1,1,3,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
82,2021/11/3,49,30,38,2,1,4,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
83,2021/11/4,74,34,38,1,1,5,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
84,2021/11/5,80,40,40,2,0,5,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
85,2021/11/6,83,25,37,1,0,5,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
86,2021/11/7,61,14,29,1,0,5,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
87,2021/11/8,42,13,30,2,1,5,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
88,2021/11/9,40,15,31,1,1,3,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
89,2021/11/10,39,22,29,1,1,0,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
90,2021/11/12,43,18,29,2,1,3,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
91,2021/11/13,45,37,40,3,2,4,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
92,2021/11/14,82,38,34,3,1,4,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
93,2021/11/15,87,29,33,2,1,3,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
94,2021/11/16,63,26,18,3,0,4,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
95,2021/11/17,62,38,18,4,1,5,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
96,2021/11/18,95,61,47,2,1,5,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
97,2021/11/19,139,56,33,2,1,5,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
98,2021/11/20,127,51,33,2,1,5,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
99,2021/11/21,125,48,25,1,2,5,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
100,2021/11/22,74,24,26,1,1,4,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
101,2021/11/23,40,25,29,4,2,3,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
102,2021/11/24,54,37,33,2,0,3,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
103,2021/11/25,62,19,33,2,1,3,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
104,2021/11/26,52,21,28,2,1,4,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
105,2021/11/27,54,18,27,2,1,4,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
106,2021/11/28,54,23,26,4,1,4,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
107,2021/11/29,61,19,23,2,1,5,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
108,2021/11/30,64,18,23,1,1,3,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
109,2021/12/1,54,21,17,6,1,3,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
110,2021/12/2,58,25,25,2,2,3,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
111,2021/12/3,55,15,26,1,1,3,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
112,2021/12/4,44,17,24,2,2,0,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
113,2021/12/5,51,20,23,2,1,0,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
114,2021/12/6,55,22,23,2,1,4,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
115,2021/12/7,59,15,22,2,1,3,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
116,2021/12/8,50,16,16,2,0,3,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
117,2021/12/9,44,17,9,4,1,4,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
118,2021/12/10,54,30,25,1,1,5,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
119,2021/12/11,70,27,29,1,1,4,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
120,2021/12/12,66,17,25,1,1,2,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
121,2021/12/13,43,27,28,4,1,4,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
122,2021/12/14,66,51,27,6,1,6,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
123,2021/12/15,129,53,27,3,1,6,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
124,2021/12/16,129,38,27,1,2,3,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
125,2021/12/17,76,20,23,2,2,2,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
126,2021/12/18,52,29,30,2,2,2,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
127,2021/12/19,57,42,31,5,3,4,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
128,2021/12/20,82,43,33,2,1,4,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
129,2021/12/21,90,24,27,2,2,3,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
130,2021/12/22,62,21,22,2,2,4,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
131,2021/12/23,59,28,22,2,0,5,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
132,2021/12/24,75,28,27,1,4,4,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
133,2021/12/25,74,18,28,1,2,3,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
134,2021/12/26,53,19,28,2,2,3,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
135,2021/12/27,52,28,22,4,0,5,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
136,2021/12/28,77,42,25,4,4,5,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
137,2021/12/29,111,34,29,2,2,4,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
138,2021/12/30,77,23,28,1,2,4,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
139,2021/12/31,47,19,25,1,0,4,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
140,2022/1/1,51,27,30,1,0,5,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
141,2022/1/2,71,21,26,1,0,0,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
142,2021/7/1,32,12,30,1,1,4,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
143,2021/7/2,33,8,27,1,1,4,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
144,2021/7/3,22,3,22,1,1,5,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
145,2021/7/4,6,9,31,1,1,4,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
146,2021/7/5,24,14,33,1,1,4,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
147,2021/7/6,35,21,55,1,1,5,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
148,2021/7/7,58,13,38,1,0,4,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
149,2021/7/8,35,9,35,1,0,4,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
150,2021/7/9,12,12,45,1,0,5,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
151,2021/7/10,28,21,40,1,1,5,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
152,2021/7/11,41,18,40,1,1,3,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
153,2021/7/12,35,15,28,1,1,3,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
154,2021/7/13,23,16,34,1,1,3,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
155,2021/7/14,32,10,29,1,1,3,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
156,2021/7/15,21,10,29,1,1,3,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
157,2021/7/16,16,8,25,1,1,3,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
158,2021/7/17,15,6,33,1,1,3,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
159,2021/7/18,10,6,26,1,1,3,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
160,2021/7/19,10,8,24,1,1,3,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
161,2021/7/20,13,12,21,1,2,3,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
162,2021/7/21,13,10,21,1,2,3,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
163,2021/7/22,20,11,31,1,2,3,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
164,2021/7/23,23,12,29,1,2,3,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
165,2021/7/24,25,11,31,1,0,3,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
166,2021/7/25,23,11,33,1,2,3,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
167,2021/7/26,22,11,31,1,2,3,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
168,2021/7/27,22,11,16,1,2,3,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
169,2021/7/28,23,12,24,1,2,3,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
170,2021/7/29,20,20,55,2,2,4,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
171,2021/7/30,54,17,36,1,1,4,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
172,2021/7/31,50,15,36,1,2,4,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
173,2021/8/1,33,11,30,1,2,4,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
174,2021/8/2,7,11,28,1,1,4,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
175,2021/8/3,9,13,42,1,1,3,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
176,2021/8/4,25,12,32,1,1,0,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
177,2021/8/5,30,9,22,1,1,0,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
178,2021/8/6,29,5,30,1,1,3,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
179,2021/8/7,7,5,36,1,1,3,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
180,2021/8/8,10,5,31,1,1,3,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
181,2021/8/9,6,8,39,1,1,3,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
182,2021/8/10,14,12,42,1,1,4,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
183,2021/8/11,32,16,40,1,1,4,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
184,2021/8/12,32,12,35,1,1,4,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
185,2021/8/13,16,11,30,1,1,0,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
186,2021/8/14,7,14,31,1,1,0,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
187,2021/8/15,17,16,33,1,1,4,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
188,2021/8/16,30,12,32,1,1,4,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
189,2021/8/17,26,13,31,1,1,0,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
190,2021/8/18,15,14,26,1,1,4,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
191,2021/8/19,21,12,48,1,1,4,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
192,2021/8/20,15,11,32,1,1,5,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
193,2021/8/21,11,16,44,1,1,6,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
194,2021/8/22,33,20,18,1,1,5,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
195,2021/8/23,37,10,24,1,1,4,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
196,2021/8/24,16,13,23,1,1,4,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
197,2021/8/25,19,31,49,1,1,4,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
198,2021/8/26,43,29,31,1,1,6,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
199,2021/8/27,45,27,46,1,1,5,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
200,2021/8/28,48,26,35,1,1,4,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
201,2021/8/29,53,27,35,1,1,5,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
202,2021/8/30,50,23,29,1,1,4,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
203,2021/8/31,48,11,35,1,1,4,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
204,2021/9/1,10,15,23,1,1,3,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
205,2021/9/2,20,13,32,1,1,3,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
206,2021/9/3,24,13,34,1,1,3,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
207,2021/9/4,22,13,31,1,1,3,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
208,2021/9/5,31,16,32,1,1,0,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
209,2021/9/6,36,13,20,1,1,3,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
210,2021/9/7,26,11,32,1,1,3,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
211,2021/9/8,17,14,29,0,1,3,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
212,2021/9/9,21,19,41,1,1,4,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
213,2021/9/10,40,21,40,1,1,3,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
214,2021/9/11,51,17,39,1,1,3,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
215,2021/9/12,39,18,36,1,1,4,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
216,2021/9/13,33,15,35,1,1,3,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
217,2021/9/14,22,14,32,1,1,3,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
218,2021/9/15,27,11,30,1,1,3,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
219,2021/9/16,16,11,31,1,1,4,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
220,2021/9/17,20,10,35,1,1,0,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
221,2021/9/18,15,11,27,1,1,4,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
222,2021/9/19,17,10,38,1,1,4,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
223,2021/9/20,21,13,29,1,1,6,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
224,2021/9/21,21,14,36,1,1,5,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
225,2021/9/22,31,15,32,0,1,5,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
226,2021/9/23,46,15,18,1,1,5,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
227,2021/9/24,32,9,23,1,1,4,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
228,2021/9/25,17,9,29,1,1,4,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
229,2021/9/26,20,9,24,0,1,0,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
230,2021/9/27,21,10,28,1,0,3,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
231,2021/9/28,26,8,15,1,0,4,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
232,2021/9/29,16,12,24,1,0,3,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
233,2021/9/30,25,18,26,1,1,4,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
234,2021/4/1,51,38,42,2,1,4,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
235,2021/4/2,57,20,45,2,1,5,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
236,2021/4/3,42,12,40,1,1,4,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
237,2021/4/4,38,9,41,1,0,4,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
238,2021/4/5,22,19,58,2,0,4,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
239,2021/4/6,47,32,51,2,1,5,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
240,2021/4/7,64,20,43,2,1,2,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
241,2021/4/8,44,21,44,1,0,0,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
242,2021/4/9,46,23,51,2,0,4,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
243,2021/4/10,55,38,67,3,1,4,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
244,2021/4/11,79,23,45,3,1,4,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
245,2021/4/12,58,8,41,1,1,5,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
246,2021/4/13,25,21,45,2,1,2,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
247,2021/4/14,47,24,47,3,1,3,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
248,2021/4/15,59,57,45,4,1,4,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
249,2021/4/16,74,73,36,3,0,3,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
250,2021/4/17,74,20,39,2,1,4,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
251,2021/4/18,44,22,37,3,2,5,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
252,2021/4/19,50,52,66,4,1,5,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
253,2021/4/20,93,45,60,3,1,5,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
254,2021/4/21,79,38,59,3,1,5,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
255,2021/4/22,72,25,36,1,1,5,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
256,2021/4/23,58,12,41,1,1,4,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
257,2021/4/24,36,16,34,1,1,5,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
258,2021/4/25,32,14,43,2,1,4,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
259,2021/4/26,43,23,45,4,1,2,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
260,2021/4/27,56,40,40,2,1,3,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
261,2021/4/28,58,32,40,2,1,3,38.2089,127.9495,Bangsan-Myeon,Gangwon, South Korea
